season,mode,boss_name,subcategory,author_name,video_url,video_date,total_limited_5star_count,total_standard_5star_count,action_value,metric_value,p1_char,p1_eidolon,p1_lc,p1_superimp,p2_char,p2_eidolon,p2_lc,p2_superimp,p3_char,p3_eidolon,p3_lc,p3_superimp,p4_char,p4_eidolon,p4_lc,p4_superimp
3.8,aa,True Sting,0-Cycle,茉亭花醉月,https://www.bilibili.com/video/BV1ywBFBvEa2,2025-12-19T22:00:00.000Z,3,0,,0,Evernight,1,The Flower Remembers,2,Cyrene,0,Memorys Curtain Never Falls,5,Trailblazer (Remembrance),6,Fly Into a Pink Tomorrow,5,Pela,6,Resolution Shines As Pearls of Sweat,5
3.8,aa,True Sting,0-Cycle,riconduongcung,https://www.bilibili.com/video/BV1daqRBzEoz,2025-12-18T23:45:50.000Z,3,0,,0,Firefly,0,On the Fall of an Aeon,5,The Dahlia,0,Resolution Shines As Pearls of Sweat,5,Fugue,0,Holiday Thermae Escapade,1,Trailblazer: Harmony,6,In Pursuit of the Wind,4
3.8,aa,True Sting,0-Cycle,与澄闪佳偶天成,https://www.bilibili.com/video/BV1x7qLB2EZb,2025-12-18T02:30:00.000Z,3,0,,0,Anaxa,0,The Great Cosmic Enterprise,5,Cyrene,0,Victory In a Blink,5,Trailblazer (Remembrance),6,Fly Into a Pink Tomorrow,5,Cerydra,0,Dance Dance Dance,5
3.8,aa,Ichor Memosprite,0-Cycle,aaa大白鹅批发_,https://www.bilibili.com/video/BV1vyByByEqW,2025-12-24T19:00:15.000Z,3,3,,0,Phainon,2,On the Fall of an Aeon,5,Bronya,2,Past and Future,5,Tingyun,6,Dance Dance Dance,5,Trailblazer (Remembrance),6,Victory In a Blink,5
3.8,aa,The Ascended,0-Cycle,aaa大白鹅批发_,https://www.bilibili.com/video/BV1B1qkBGEQe,2025-12-20T17:55:11.000Z,3,4,,0,Phainon,2,On the Fall of an Aeon,5,Bronya,2,But the Battle Isnt Over,1,Tingyun,6,Dance Dance Dance,5,Trailblazer (Remembrance),6,Victory In a Blink,5
3.8,aa,True Sting,0-Cycle,aaa大白鹅批发_,https://www.bilibili.com/video/BV1vGq9BeEBt,2025-12-18T18:20:53.000Z,3,4,,0,Phainon,2,On the Fall of an Aeon,5,Bronya,2,But the Battle Isnt Over,1,Tingyun,6,Carve the Moon Weave the Clouds,5,Trailblazer (Remembrance),6,Victory In a Blink,5
3.8,aa,Ichor Memosprite,0-Cycle,洛河Lohana,https://www.bilibili.com/video/BV1WTB1BfEDn,2025-12-25T02:30:00.000Z,4,0,,0,Boothill,0,Shadowed by Night,5,The Dahlia,0,Never Forget Her Flame,1,Fugue,0,Resolution Shines As Pearls of Sweat,5,Trailblazer: Harmony,6,Dance Dance Dance,5
3.8,aa,True Sting,0-Cycle,洛河Lohana,https://www.bilibili.com/video/BV1q6BgBJEwo,2025-12-24T02:30:00.000Z,4,0,,0,Boothill,0,Shadowed by Night,5,The Dahlia,0,Never Forget Her Flame,1,Fugue,0,Resolution Shines As Pearls of Sweat,5,Trailblazer: Harmony,6,Dance Dance Dance,5
3.8,aa,True Sting,0-Cycle,Tuấn Bay Bụi,https://www.youtube.com/watch?v=w40jN6l5fmw,2025-12-21T11:47:31.000Z,4,0,,0,Evernight,1,To Evernights Stars,1,Cyrene,0,Memorys Curtain Never Falls,5,Trailblazer (Remembrance),6,Fly Into a Pink Tomorrow,5,Pela,6,Resolution Shines As Pearls of Sweat,2
3.8,aa,The Ascended,0-Cycle,Trash-kun,https://www.youtube.com/watch?v=3W9dpiOUAsk,2025-12-19T22:31:14.000Z,4,0,,0,Evernight,0,To Evernights Stars,1,Trailblazer (Remembrance),6,Fly Into a Pink Tomorrow,5,Cyrene,0,Memorys Curtain Never Falls,5,Hyacine,0,The Storys Next Page,5
